event_t,rgb_t,iou_t,alpha,weighted_box,map50
0.1,0.1,0.7,max,False,0.5678
0.1,0.2,0.7,max,False,0.5678
0.3,0.2,0.7,max,False,0.5678
0.3,0.1,0.7,max,True,0.5675
0.1,0.3,0.7,max,True,0.5675
0.1,0.1,0.7,max,True,0.5675
0.1,0.2,0.7,max,True,0.5675
0.2,0.1,0.7,max,True,0.5675
0.3,0.2,0.7,max,True,0.5675
0.2,0.3,0.7,max,True,0.5675
0.2,0.2,0.7,max,True,0.5675
0.3,0.3,0.7,max,True,0.5675
0.2,0.5,0.7,0.1,False,0.5662
0.1,0.5,0.7,0.1,False,0.5662
0.2,0.5,0.7,0.1,True,0.5659
0.1,0.5,0.7,0.1,True,0.5659
0.1,0.5,0.6,0.1,False,0.5648
0.2,0.5,0.6,0.1,False,0.5648
0.3,0.5,0.6,0.1,True,0.5647
0.2,0.5,0.6,0.1,True,0.5647
0.1,0.5,0.6,0.1,True,0.5647
0.1,0.4,0.7,0.1,False,0.5646
0.2,0.4,0.7,0.1,False,0.5646
0.3,0.4,0.7,0.1,True,0.5644
0.1,0.4,0.7,0.1,True,0.5644
0.2,0.4,0.7,0.1,True,0.5644
0.2,0.5,0.7,0.2,False,0.5637
0.2,0.4,0.6,0.1,False,0.5637
0.1,0.5,0.7,0.2,False,0.5637
0.1,0.4,0.6,0.1,False,0.5637
0.2,0.5,0.7,0.2,True,0.5636
0.1,0.4,0.6,0.1,True,0.5636
0.2,0.4,0.6,0.1,True,0.5636
0.3,0.4,0.6,0.1,True,0.5636
0.1,0.5,0.7,0.2,True,0.5636
0.3,0.4,0.6,0.1,False,0.5636
0.1,0.3,0.7,0.1,False,0.5633
0.3,0.3,0.7,0.1,False,0.5633
0.1,0.1,0.7,0.1,False,0.5633
0.2,0.1,0.7,0.1,False,0.5633
0.2,0.2,0.7,0.1,False,0.5633
0.1,0.2,0.7,0.1,False,0.5633
0.2,0.3,0.7,0.1,False,0.5633
0.3,0.1,0.7,0.1,False,0.5633
0.3,0.2,0.7,0.1,False,0.5633
0.2,0.1,0.7,0.1,True,0.5631
0.2,0.2,0.7,0.1,True,0.5631
0.2,0.3,0.7,0.1,True,0.5631
0.1,0.1,0.7,0.1,True,0.5631
0.1,0.2,0.7,0.1,True,0.5631
0.1,0.3,0.7,0.1,True,0.5631
0.3,0.1,0.7,0.1,True,0.5631
0.3,0.2,0.7,0.1,True,0.5631
0.3,0.3,0.7,0.1,True,0.5631
0.1,0.1,0.6,0.1,False,0.5627
0.3,0.1,0.6,0.1,False,0.5627
0.1,0.3,0.6,0.1,False,0.5627
0.2,0.2,0.6,0.1,False,0.5627
0.1,0.2,0.6,0.1,False,0.5627
0.2,0.3,0.6,0.1,False,0.5627
0.2,0.1,0.6,0.1,False,0.5627
0.3,0.3,0.6,0.1,False,0.5627
0.3,0.2,0.6,0.1,False,0.5627
0.2,0.2,0.6,0.1,True,0.5626
0.1,0.3,0.6,0.1,True,0.5626
0.3,0.2,0.6,0.1,True,0.5626
0.2,0.3,0.6,0.1,True,0.5626
0.1,0.1,0.6,0.1,True,0.5626
0.2,0.1,0.6,0.1,True,0.5626
0.1,0.2,0.6,0.1,True,0.5626
0.3,0.3,0.6,0.1,True,0.5626
0.3,0.1,0.6,0.1,True,0.5626
0.2,0.4,0.7,0.2,False,0.5621
0.1,0.4,0.7,0.2,True,0.5621
0.1,0.4,0.7,0.2,False,0.5621
0.2,0.4,0.7,0.2,True,0.5621
0.3,0.4,0.7,0.2,True,0.562
0.1,0.5,0.7,0.3,False,0.5619
0.2,0.5,0.7,0.3,False,0.5619
0.2,0.5,0.7,0.3,True,0.5619
0.1,0.5,0.7,0.3,True,0.5619
0.4,0.1,0.5,max,True,0.5612
0.3,0.2,0.7,0.2,False,0.5608
0.2,0.1,0.7,0.2,False,0.5608
0.2,0.2,0.7,0.2,True,0.5608
0.2,0.3,0.7,0.2,True,0.5608
0.2,0.3,0.7,0.2,False,0.5608
0.3,0.3,0.7,0.2,False,0.5608
0.3,0.3,0.7,0.2,True,0.5608
0.1,0.1,0.7,0.2,False,0.5608
0.2,0.1,0.7,0.2,True,0.5608
0.2,0.2,0.7,0.2,False,0.5608
0.1,0.1,0.7,0.2,True,0.5608
0.1,0.3,0.7,0.2,True,0.5608
0.1,0.3,0.7,0.2,False,0.5608
0.3,0.1,0.7,0.2,False,0.5608
0.3,0.1,0.7,0.2,True,0.5608
0.1,0.2,0.7,0.2,True,0.5608
0.3,0.2,0.7,0.2,True,0.5608
0.1,0.2,0.7,0.2,False,0.5608
0.4,0.1,0.3,max,False,0.5606
0.2,0.5,0.5,0.1,True,0.5606
0.1,0.5,0.5,0.1,True,0.5606
0.3,0.5,0.5,0.1,True,0.5606
0.4,0.1,0.4,max,True,0.5605
0.1,0.4,0.7,0.3,False,0.5604
0.2,0.4,0.7,0.3,False,0.5604
0.1,0.4,0.7,0.3,True,0.5604
0.2,0.4,0.7,0.3,True,0.5604
0.3,0.4,0.7,0.3,True,0.5603
0.4,0.1,0.3,max,True,0.5602
0.2,0.4,0.5,0.1,True,0.5598
0.1,0.4,0.5,0.1,True,0.5598
0.3,0.4,0.5,0.1,True,0.5598
0.3,0.5,0.4,0.1,True,0.5597
0.2,0.5,0.7,0.5,True,0.5597
0.2,0.5,0.7,0.5,False,0.5597
0.2,0.5,0.4,0.1,True,0.5597
0.1,0.5,0.4,0.1,True,0.5597
0.1,0.5,0.7,0.5,False,0.5597
0.1,0.5,0.7,0.5,True,0.5597
0.4,0.1,0.6,max,True,0.5595
0.2,0.4,0.4,0.1,True,0.5592
0.3,0.4,0.4,0.1,True,0.5592
0.1,0.4,0.4,0.1,True,0.5592
0.1,0.2,0.7,0.3,False,0.5591
0.3,0.2,0.7,0.3,False,0.5591
0.2,0.3,0.7,0.3,True,0.5591
0.2,0.3,0.7,0.3,False,0.5591
0.2,0.2,0.7,0.3,True,0.5591
0.2,0.1,0.7,0.3,True,0.5591
0.1,0.1,0.7,0.3,False,0.5591
0.1,0.1,0.7,0.3,True,0.5591
0.4,0.1,0.7,max,True,0.5591
0.2,0.2,0.7,0.3,False,0.5591
0.2,0.1,0.7,0.3,False,0.5591
0.1,0.3,0.7,0.3,True,0.5591
0.3,0.1,0.7,0.3,False,0.5591
0.3,0.1,0.7,0.3,True,0.5591
0.1,0.3,0.7,0.3,False,0.5591
0.1,0.2,0.7,0.3,True,0.5591
0.3,0.3,0.7,0.3,True,0.5591
0.3,0.2,0.7,0.3,True,0.5591
0.3,0.3,0.7,0.3,False,0.5591
0.3,0.2,0.5,0.1,True,0.5588
0.1,0.5,0.5,0.1,False,0.5588
0.2,0.5,0.5,0.1,False,0.5588
0.1,0.2,0.5,0.1,True,0.5588
0.1,0.3,0.5,0.1,True,0.5588
0.2,0.2,0.5,0.1,True,0.5588
0.1,0.1,0.5,0.1,True,0.5588
0.3,0.1,0.5,0.1,True,0.5588
0.2,0.3,0.5,0.1,True,0.5588
0.2,0.1,0.5,0.1,True,0.5588
0.3,0.3,0.5,0.1,True,0.5588
0.4,0.1,0.7,max,False,0.5587
0.4,0.1,0.6,max,False,0.5587
0.2,0.5,0.6,0.2,False,0.5586
0.1,0.5,0.6,0.2,False,0.5586
0.1,0.5,0.6,0.2,True,0.5586
0.2,0.5,0.6,0.2,True,0.5586
0.3,0.5,0.6,0.2,True,0.5586
0.2,0.5,0.4,0.1,False,0.5584
0.1,0.5,0.4,0.1,False,0.5584
0.1,0.1,0.4,0.1,True,0.5582
0.1,0.3,0.4,0.1,True,0.5582
0.3,0.1,0.4,0.1,True,0.5582
0.2,0.2,0.4,0.1,True,0.5582
0.3,0.3,0.4,0.1,True,0.5582
0.3,0.2,0.4,0.1,True,0.5582
0.2,0.1,0.4,0.1,True,0.5582
0.1,0.2,0.4,0.1,True,0.5582
0.2,0.3,0.4,0.1,True,0.5582
0.4,0.1,0.4,max,False,0.5581
0.2,0.4,0.5,0.1,False,0.558
0.1,0.4,0.5,0.1,False,0.558
0.3,0.5,0.4,0.1,False,0.5579
0.3,0.4,0.5,0.1,False,0.5578
0.1,0.4,0.4,0.1,False,0.5578
0.2,0.4,0.4,0.1,False,0.5578
0.3,0.4,0.6,0.2,True,0.5576
0.2,0.4,0.6,0.2,True,0.5575
0.4,0.1,0.5,max,False,0.5575
0.1,0.4,0.6,0.2,True,0.5575
0.1,0.4,0.6,0.2,False,0.5574
0.3,0.4,0.6,0.2,False,0.5574
0.2,0.4,0.6,0.2,False,0.5574
0.3,0.4,0.4,0.1,False,0.5573
0.2,0.4,0.7,0.5,True,0.5572
0.1,0.4,0.7,0.5,True,0.5572
0.2,0.4,0.7,0.5,False,0.5571
0.3,0.4,0.7,0.5,True,0.5571
0.1,0.4,0.7,0.5,False,0.5571
0.3,0.3,0.5,0.1,False,0.5569
0.1,0.2,0.5,0.1,False,0.5568
0.2,0.3,0.4,0.1,False,0.5568
0.1,0.1,0.5,0.1,False,0.5568
0.2,0.3,0.5,0.1,False,0.5568
0.1,0.3,0.4,0.1,False,0.5568
0.1,0.3,0.5,0.1,False,0.5568
0.2,0.1,0.5,0.1,False,0.5568
0.2,0.2,0.5,0.1,False,0.5568
0.2,0.1,0.4,0.1,False,0.5566
0.1,0.2,0.4,0.1,False,0.5566
0.1,0.1,0.4,0.1,False,0.5566
0.3,0.1,0.5,0.1,False,0.5566
0.3,0.3,0.4,0.1,False,0.5566
0.3,0.2,0.5,0.1,False,0.5566
0.2,0.2,0.4,0.1,False,0.5566
0.2,0.2,0.6,0.2,True,0.5565
0.1,0.3,0.6,0.2,True,0.5565
0.2,0.1,0.6,0.2,True,0.5565
0.1,0.1,0.6,0.2,True,0.5565
0.2,0.3,0.6,0.2,True,0.5565
0.3,0.2,0.6,0.2,True,0.5565
0.3,0.1,0.6,0.2,True,0.5565
0.1,0.2,0.6,0.2,True,0.5565
0.3,0.3,0.6,0.2,True,0.5565
0.3,0.1,0.4,0.1,False,0.5564
0.3,0.2,0.4,0.1,False,0.5564
0.2,0.3,0.6,0.2,False,0.5563
0.3,0.3,0.6,0.2,False,0.5563
0.1,0.3,0.6,0.2,False,0.5563
0.2,0.2,0.6,0.2,False,0.5563
0.1,0.2,0.6,0.2,False,0.5563
0.2,0.1,0.6,0.2,False,0.5563
0.1,0.1,0.6,0.2,False,0.5563
0.3,0.1,0.6,0.2,False,0.5563
0.3,0.2,0.6,0.2,False,0.5563
0.2,0.2,0.7,0.5,False,0.5556
0.1,0.1,0.7,0.5,True,0.5556
0.2,0.2,0.7,0.5,True,0.5556
0.1,0.1,0.7,0.5,False,0.5556
0.3,0.3,0.7,0.5,True,0.5556
0.3,0.1,0.7,0.5,True,0.5556
0.1,0.2,0.7,0.5,False,0.5556
0.2,0.3,0.7,0.5,False,0.5556
0.3,0.3,0.7,0.5,False,0.5556
0.3,0.2,0.7,0.5,True,0.5556
0.2,0.3,0.7,0.5,True,0.5556
0.2,0.1,0.7,0.5,False,0.5556
0.2,0.1,0.7,0.5,True,0.5556
0.1,0.2,0.7,0.5,True,0.5556
0.1,0.3,0.7,0.5,True,0.5556
0.3,0.1,0.7,0.5,False,0.5556
0.1,0.3,0.7,0.5,False,0.5556
0.3,0.2,0.7,0.5,False,0.5556
0.3,0.5,0.3,0.1,True,0.5552
0.2,0.5,0.3,0.1,False,0.5551
0.1,0.5,0.3,0.1,True,0.5551
0.2,0.5,0.3,0.1,True,0.5551
0.1,0.5,0.3,0.1,False,0.5551
0.2,0.5,0.6,0.3,True,0.5549
0.3,0.5,0.3,0.1,False,0.5549
0.1,0.5,0.6,0.3,True,0.5549
0.3,0.5,0.6,0.3,True,0.5548
0.1,0.5,0.6,0.3,False,0.5548
0.2,0.5,0.6,0.3,False,0.5548
0.4,0.1,0.7,0.1,True,0.5547
0.3,0.4,0.3,0.1,True,0.5547
0.2,0.4,0.3,0.1,True,0.5546
0.1,0.4,0.3,0.1,True,0.5546
0.2,0.4,0.3,0.1,False,0.5546
0.1,0.4,0.3,0.1,False,0.5546
0.3,0.4,0.3,0.1,False,0.5544
0.4,0.1,0.7,0.1,False,0.5542
0.3,0.4,0.6,0.3,True,0.5538
0.3,0.3,0.3,0.1,True,0.5537
0.1,0.4,0.6,0.3,False,0.5537
0.1,0.4,0.6,0.3,True,0.5537
0.2,0.4,0.6,0.3,True,0.5537
0.2,0.4,0.6,0.3,False,0.5537
0.3,0.3,0.3,0.1,False,0.5536
0.1,0.3,0.3,0.1,False,0.5536
0.2,0.3,0.3,0.1,True,0.5536
0.1,0.3,0.3,0.1,True,0.5536
0.2,0.3,0.3,0.1,False,0.5536
0.3,0.4,0.6,0.3,False,0.5536
0.1,0.2,0.3,0.1,True,0.5535
0.1,0.1,0.3,0.1,True,0.5535
0.2,0.1,0.3,0.1,True,0.5535
0.2,0.2,0.3,0.1,True,0.5535
0.2,0.1,0.3,0.1,False,0.5534
0.2,0.2,0.3,0.1,False,0.5534
0.1,0.1,0.3,0.1,False,0.5534
0.1,0.2,0.3,0.1,False,0.5534
0.3,0.1,0.3,0.1,True,0.5533
0.3,0.2,0.3,0.1,True,0.5533
0.3,0.2,0.3,0.1,False,0.5533
0.3,0.1,0.3,0.1,False,0.5533
0.4,0.1,0.6,0.1,True,0.5532
0.2,0.1,0.6,0.3,True,0.5527
0.2,0.3,0.6,0.3,True,0.5527
0.1,0.2,0.6,0.3,True,0.5527
0.2,0.2,0.6,0.3,True,0.5527
0.3,0.2,0.6,0.3,True,0.5527
0.3,0.3,0.6,0.3,True,0.5527
0.1,0.1,0.6,0.3,True,0.5527
0.1,0.3,0.6,0.3,True,0.5527
0.3,0.1,0.6,0.3,True,0.5527
0.4,0.1,0.6,0.1,False,0.5526
0.2,0.2,0.6,0.3,False,0.5525
0.1,0.2,0.6,0.3,False,0.5525
0.3,0.3,0.6,0.3,False,0.5525
0.3,0.1,0.6,0.3,False,0.5525
0.1,0.3,0.6,0.3,False,0.5525
0.2,0.3,0.6,0.3,False,0.5525
0.3,0.2,0.6,0.3,False,0.5525
0.1,0.1,0.6,0.3,False,0.5525
0.2,0.1,0.6,0.3,False,0.5525
0.4,0.1,0.7,0.2,True,0.5524
0.2,0.5,0.5,0.2,True,0.552
0.1,0.5,0.5,0.2,True,0.552
0.3,0.5,0.5,0.2,True,0.552
0.4,0.1,0.7,0.2,False,0.5517
0.2,0.5,0.6,0.5,True,0.5515
0.1,0.5,0.6,0.5,True,0.5515
0.3,0.5,0.6,0.5,True,0.5514
0.1,0.4,0.5,0.2,True,0.5513
0.3,0.4,0.5,0.2,True,0.5513
0.2,0.4,0.5,0.2,True,0.5513
0.3,0.5,0.4,0.2,True,0.5513
0.1,0.5,0.6,0.5,False,0.5513
0.2,0.5,0.6,0.5,False,0.5513
0.1,0.5,0.4,0.2,True,0.5512
0.2,0.5,0.4,0.2,True,0.5512
0.3,0.4,0.4,0.2,True,0.5508
0.2,0.4,0.4,0.2,True,0.5507
0.1,0.4,0.4,0.2,True,0.5507
0.4,0.1,0.7,0.3,True,0.5507
0.2,0.5,0.5,0.2,False,0.5506
0.1,0.5,0.5,0.2,False,0.5506
0.3,0.1,0.5,0.2,True,0.5502
0.2,0.2,0.5,0.2,True,0.5502
0.1,0.3,0.5,0.2,True,0.5502
0.3,0.2,0.5,0.2,True,0.5502
0.3,0.3,0.5,0.2,True,0.5502
0.2,0.1,0.5,0.2,True,0.5502
0.1,0.1,0.5,0.2,True,0.5502
0.1,0.2,0.5,0.2,True,0.5502
0.2,0.3,0.5,0.2,True,0.5502
0.2,0.5,0.4,0.2,False,0.5501
0.1,0.5,0.4,0.2,False,0.5501
0.4,0.1,0.7,0.3,False,0.5499
0.1,0.4,0.5,0.2,False,0.5498
0.2,0.4,0.5,0.2,False,0.5498
0.2,0.1,0.4,0.2,True,0.5497
0.3,0.1,0.4,0.2,True,0.5497
0.1,0.1,0.4,0.2,True,0.5497
0.1,0.2,0.4,0.2,True,0.5497
0.2,0.2,0.4,0.2,True,0.5497
0.2,0.3,0.4,0.2,True,0.5497
0.3,0.3,0.4,0.2,True,0.5497
0.3,0.2,0.4,0.2,True,0.5497
0.1,0.3,0.4,0.2,True,0.5497
0.3,0.5,0.4,0.2,False,0.5495
0.1,0.4,0.4,0.2,False,0.5495
0.2,0.4,0.4,0.2,False,0.5495
0.3,0.4,0.5,0.2,False,0.5494
0.3,0.4,0.4,0.2,False,0.549
0.4,0.1,0.5,0.1,True,0.5489
0.3,0.3,0.5,0.2,False,0.5486
0.1,0.3,0.5,0.2,False,0.5486
0.2,0.3,0.5,0.2,False,0.5486
0.2,0.1,0.5,0.2,False,0.5484
0.1,0.2,0.5,0.2,False,0.5484
0.2,0.3,0.4,0.2,False,0.5484
0.1,0.3,0.4,0.2,False,0.5484
0.3,0.1,0.5,0.2,False,0.5484
0.1,0.1,0.5,0.2,False,0.5484
0.3,0.2,0.5,0.2,False,0.5484
0.2,0.2,0.5,0.2,False,0.5484
0.3,0.3,0.4,0.2,False,0.5482
0.2,0.1,0.4,0.2,False,0.5481
0.2,0.2,0.4,0.2,False,0.5481
0.1,0.2,0.4,0.2,False,0.5481
0.1,0.1,0.4,0.2,False,0.5481
0.3,0.2,0.4,0.2,False,0.5479
0.3,0.1,0.4,0.2,False,0.5479
0.1,0.4,0.6,0.5,True,0.5478
0.2,0.4,0.6,0.5,True,0.5478
0.3,0.4,0.6,0.5,True,0.5478
0.1,0.4,0.6,0.5,False,0.5475
0.2,0.4,0.6,0.5,False,0.5475
0.4,0.1,0.7,0.5,True,0.5475
0.3,0.4,0.6,0.5,False,0.5474
0.3,0.5,0.3,0.2,True,0.5474
0.1,0.5,0.3,0.2,True,0.5473
0.2,0.5,0.3,0.2,True,0.5473
0.4,0.1,0.4,0.1,True,0.5472
0.2,0.5,0.3,0.2,False,0.5472
0.1,0.5,0.3,0.2,False,0.5472
0.4,0.1,0.6,0.2,True,0.5471
0.3,0.5,0.3,0.2,False,0.547
0.3,0.4,0.3,0.2,True,0.5469
0.2,0.4,0.3,0.2,True,0.5468
0.1,0.4,0.3,0.2,True,0.5468
0.4,0.1,0.7,0.5,False,0.5467
0.2,0.4,0.3,0.2,False,0.5467
0.1,0.4,0.3,0.2,False,0.5467
0.3,0.4,0.3,0.2,False,0.5465
0.4,0.1,0.6,0.2,False,0.5464
0.3,0.2,0.6,0.5,True,0.5462
0.2,0.1,0.6,0.5,True,0.5462
0.1,0.3,0.6,0.5,True,0.5462
0.2,0.3,0.6,0.5,True,0.5462
0.1,0.1,0.6,0.5,True,0.5462
0.2,0.2,0.6,0.5,True,0.5462
0.3,0.3,0.6,0.5,True,0.5462
0.1,0.2,0.6,0.5,True,0.5462
0.3,0.1,0.6,0.5,True,0.5462
0.3,0.3,0.6,0.5,False,0.546
0.3,0.5,0.5,0.3,True,0.5459
0.1,0.5,0.5,0.3,True,0.5459
0.1,0.3,0.6,0.5,False,0.5459
0.2,0.3,0.6,0.5,False,0.5459
0.2,0.5,0.5,0.3,True,0.5459
0.3,0.3,0.3,0.2,True,0.5458
0.1,0.3,0.3,0.2,True,0.5458
0.3,0.3,0.3,0.2,False,0.5458
0.2,0.3,0.3,0.2,True,0.5458
0.3,0.1,0.6,0.5,False,0.5457
0.2,0.3,0.3,0.2,False,0.5457
0.3,0.2,0.6,0.5,False,0.5457
0.1,0.2,0.6,0.5,False,0.5457
0.2,0.2,0.6,0.5,False,0.5457
